bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
478,9,3,19,0,0,0,0, 
479,4,1,16,0,0,0,0, 
480,9,3,10,0,0,0,0, 
481,8,1,9,0,0,0,0, 
482,9,2,15,0,0,0,0, 
483,7,1,12,0,0,0,0, 
484,9,5,18,0,0,0,0, 
485,8,2,11,0,0,0,0, 
486,9,3,11,0,0,0,0, 
487,6,1,13,0,0,0,0, 
488,9,3,12,0,0,0,0, 
489,8,1,9,0,0,0,0, 
490,9,2,15,0,0,0,0, 
491,7,1,16,0,0,0,0, 
492,9,7,14,0,0,0,0, 
493,8,3,15,0,0,0,0, 
494,9,3,11,0,0,0,0, 
495,5,1,15,0,0,0,0, 
496,9,3,8,0,0,0,0, 
497,8,1,13,0,0,0,0, 
498,9,2,13,0,0,0,0, 
499,7,1,10,0,0,0,0, 
500,9,5,12,0,0,0,0, 
501,8,2,17,0,0,0,0, 
502,9,3,15,0,0,0,0, 
503,6,1,15,0,0,0,0, 
504,9,3,6,0,0,0,0, 
505,8,1,11,0,0,0,0, 
506,9,2,11,0,0,0,0, 
507,7,1,13,0,0,0,0, 
508,9,5,14,0,0,0,0, 
509,8,2,16,0,0,0,0, 
510,9,3,11,0,0,0,0, 
511,0,1,12,0,0,0,0, 
512,9,3,16,0,0,0,0, 
513,8,1,10,0,0,0,0, 
514,9,2,12,0,0,0,0, 
515,7,1,16,0,0,0,0, 
516,9,4,16,0,0,0,0, 
517,8,2,16,0,0,0,0, 
518,9,3,10,0,0,0,0, 
519,6,1,13,0,0,0,0, 
520,9,3,18,0,0,0,0, 
521,8,1,11,0,0,0,0, 
522,9,2,10,0,0,0,0, 
523,7,1,12,0,0,0,0, 
524,9,7,15,0,0,0,0, 
525,8,3,5,0,0,0,0, 
526,9,3,13,0,0,0,0, 
527,5,1,10,0,0,0,0, 
528,9,3,9,0,0,0,0, 
529,8,1,9,0,0,0,0, 
530,9,2,18,0,0,0,0, 
531,7,1,18,0,0,0,0, 
532,9,5,16,0,0,0,0, 
533,8,2,8,0,0,0,0, 
534,9,3,5,0,0,0,0, 
535,6,1,17,0,0,0,0, 
536,9,3,14,0,0,0,0, 
537,8,1,10,0,0,0,0, 
538,9,2,15,0,0,0,0, 
539,7,1,11,0,0,0,0, 
540,9,5,16,0,0,0,0, 
541,8,2,11,0,0,0,0, 
542,9,3,16,0,0,0,0, 
543,4,1,7,0,0,0,0, 
544,9,3,7,0,0,0,0, 
545,8,1,9,0,0,0,0, 
546,9,2,13,0,0,0,0, 
547,7,1,7,0,0,0,0, 
548,9,4,14,0,0,0,0, 
549,8,2,8,0,0,0,0, 
550,9,3,19,0,0,0,0, 
551,6,1,16,0,0,0,0, 
552,9,3,13,0,0,0,0, 
553,8,1,10,0,0,0,0, 
554,9,2,14,0,0,0,0, 
555,7,1,15,0,0,0,0, 
556,9,6,21,0,0,0,0, 
557,8,3,13,0,0,0,0, 
558,9,3,15,0,0,0,0, 
559,5,1,11,0,0,0,0, 
560,9,3,13,0,0,0,0, 
561,8,1,13,0,0,0,0, 
562,9,2,9,0,0,0,0, 
563,7,1,11,0,0,0,0, 
564,9,5,10,0,0,0,0, 
565,8,2,10,0,0,0,0, 
566,9,3,14,0,0,0,0, 
567,6,1,13,0,0,0,0, 
568,9,3,11,0,0,0,0, 
569,8,1,16,0,0,0,0, 
570,9,2,15,0,0,0,0, 
571,7,1,14,0,0,0,0, 
572,9,5,9,0,0,0,0, 
573,8,2,13,0,0,0,0, 
574,9,3,13,0,0,0,0, 
575,3,1,16,0,0,0,0, 
576,9,3,11,0,0,0,0, 
577,8,1,12,0,0,0,0, 
578,9,2,14,0,0,0,0, 
579,7,1,16,0,0,0,0, 
580,9,4,19,0,0,0,0, 
581,8,2,13,0,0,0,0, 
582,9,3,14,0,0,0,0, 
583,6,1,17,0,0,0,0, 
584,9,3,12,0,0,0,0, 
585,8,1,7,0,0,0,0, 
586,9,2,12,0,0,0,0, 
587,7,1,10,0,0,0,0, 
588,9,9,6,0,0,0,0, 
589,8,4,13,0,0,0,0, 
590,9,4,15,0,0,0,0, 
591,5,2,15,0,0,0,0, 
592,9,4,13,0,0,0,0, 
593,8,2,8,0,0,0,0, 
594,9,3,18,0,0,0,0, 
595,7,1,13,0,0,0,0, 
596,9,6,23,0,0,0,0, 
